"
International Institute of Information Technology, Bangalore
",Karnataka,http://www.iiitb.ac.in/,918041407777/28527627,Deemed University,1999
"
Indian School of Mines, Dhanbad
",Jharkhand,http://www.ismdhanbad.ac.in/,+91-326-2235001-2235004,Deemed University,1926
"
Indian Institute of Technology, Guwahati
",Assam,http://www.iitg.ac.in,91-361-2583000Fax:91-361-2690762,Institute of National Importance,1994
"
Indian Institute of Technology, Hyderabad
",Telangana,http://www.iith.ac.in,04023016033Fax:04023016032,Institute of National Importance,2008
"
Osmania University, Hyderabad
",Telangana,http://www.uceou.edu/,"(+91)-40-27682284,-40-27682363,91-40-27682374",State University,1918
"
Indian Institute of Technology, Patna
",Bihar,http://www.iitp.ac.in,"91-612-2552067,Fax:91-612-2277383",Institute of National Importance,2008
"
National Institute of Technology, Silchar
",Assam,http://www.nits.ac.in,03842-224879,Institute of National Importance,2002
"
Indian Institute of Technology, Ropar
",Punjab,http://www.iitrpr.ac.in/,91-1881-227078fax:91-1881-223395,Institute of National Importance,2008
"
Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore
",Karnataka,http://www.jncasr.ac.in,(+91)-80-22082750,Deemed University,1989
"
VIT University, Vellore
",Tamil Nadu,http://www.vit.ac.in/,"91-416-2243091,93",Deemed University,1984
"
National Institute of Technology, Tiruchirappalli
",Tamil Nadu,http://www.nitt.edu,+91-431-2500370,Institute of National Importance,1964
"
SRM University, Chennai 
",Tamil Nadu,http://www.srmuniv.ac.in/index.html,"+91-44-27417400,+91-04427455510,04447437500",Deemed University,1985
"
Motilal Nehru National Institute of Technology, Allahabad
",Uttar Pradesh,http://www.mnnit.ac.in,"91-0532-2545404,2545407",Institute of National Importance,1961
"
Netaji Subhas Institute of Technology, Delhi
",Delhi,http://www.nsit.ac.in,"011-25099043,25099020,25099050",Autonomous College,1983
"
Birla Institute of Technology, Mesra
",Jharkhand,http://www.bitmesra.ac.in/,+916512275444/2275896,Deemed University,1955
"
National Institute of Technology, Surathkal
","",http://www.nitk.ac.in,91-824-2474000,Institute of National Importance,1960
"
Visvesvaraya National Institute of Technology, Nagpur
",Maharashtra,http://www.vnit.ac.in,"+91-712-2222828,2224123,2231636,2226750,2223710",Institute of National Importance,1960
"
Amrita School of Engineering, Coimbatore
",Tamil Nadu,http://engineering.amrita.edu,"0422-2685000,2685169/5170",Constituent College,1994
"
Maulana Azad National Institute of Technology, Bhopal 
",Madhya Pradesh,http://www.manit.ac.in/manitbhopal/,"917554051000,4052000917552670900",Institute of National Importance,1960
"
Sardar Vallabhbhai National Institute of Technology, Surat
",Gujarat,http://www.svnit.ac.in,"0261-2259571,2259582-84",Institute of National Importance,1961
"
National Institute of Technology, Durgapur
",West Bengal,http://www.nitdgp.ac.in/,91-343-2545290,Institute of National Importance,2003
"
Aligarh Muslim University, Aligarh
",Uttar Pradesh,http://www.amu.ac.in,"0571,2702044",Central University,1920
"
Indian Institute of Science, Bangalore
",Karnataka,http://www.iisc.ernet.in,80-22932004/2228/2001,Deemed University,1909
"
National Institute of Technology, Rourkela
",Odisha (Orissa),http://www.nitrkl.ac.in/,0661-2462355,Institute of National Importance,1961
"
National Institute of Technology, Kurukshetra 
",Haryana,http://www.nitkkr.ac.in/,"01744-233337,01744-233208",Institute of National Importance,1963
"
Indian Institute of Engineering Science and Technology, Shibpur
",West Bengal,http://www.becs.ac.in/,033-26682916-2662674,Institute of National Importance,1856
"
University of Pune, Pune
",Maharashtra,http://www.unipune.ac.in/,91-020-25654069,State University,1956
"
PSG College of Technology, Coimbatore
",Tamil Nadu,http://www.psgtech.edu/,"422-2572177,2572477,4344777",Autonomous College,1951
"
Jamia Hamdard, New Delhi
",Delhi,http://www.jamiahamdard.edu/,011-26059688,Deemed University,1906
"
Jamia Millia Islamia, New Delhi
",Delhi,http://jmi.ac.in,"91(11)26981717,26984617,26984658,26988044,26987183Fax:91(11)26980229",Central University,1920
"
MS Ramaiah Institute of Technology, Bangalore
",Karnataka,http://www.msrit.edu,"080-23600822,23606934",Autonomous College,1962
"
SASTRA University, Thanjavur
",Tamil Nadu,http://www.sastra.edu/,"+914362264101­108,304000­010",Deemed University,1984
"
JNTUH College of Engineering, Hyderabad
",Telangana,http://www.jntuhceh.ac.in,+91-40-23057787,Autonomous College,1965
"
Symbiosis International University, Pune
",Maharashtra,http://siu.edu.in/HTML_SIU/index.php,"+91-20-39116200,39116208,39116209,8605625554",Deemed University,2002
"
Indian Institute of Technology, Indore
",Madhya Pradesh,http://www.iiti.ac.in,"91-731-2438717,91-7509062839",Institute of National Importance,2009
"
National Institute of Technology, Srinagar
",Jammu &amp; Kashmir,http://www.nitsri.net/,(O)0194-2422032,Institute of National Importance,2003
"
Anna University, Chennai
",Tamil Nadu,http://www.annauniv.edu,"044-22357080,044-22357081",State University,1978
"
Institute of Chemical Technology, Mumbai
",Maharashtra,http://www.ictmumbai.edu.in,(91-022)33611111/2222,Deemed University,1933
"
National Institute of Technology, Agartala
",Tripura,http://www.nitagartala.in/,"03812346630,0381-2348537",Institute of National Importance,1965
"
National Institute of Technology, Raipur
",Chhattisgarh,http://www.nitrr.ac.in,91-771-2254200fax:+91-771-2254600,Institute of National Importance,2008
"
Faculty of Engineering and Technology- Jadavpur University, North 24 Parganas
",West Bengal,http://www.jaduniv.edu.in/about_us.php,"","",""
"
Harcourt Butler Technological Institute, Kanpur
",Uttar Pradesh,http://www.hbti.ac.in/,"91-512-2534001-05,0512-2534000",Autonomous College,1921
"
National Institute of Technology, Uttarakhand
",Uttarakhand,http://www.nituk.ac.in/,"01346-257400,01346-250792,251249",Institute of National Importance,2010
"
Shri GS Institute of Technology and Science, Indore
",Madhya Pradesh,http://www.sgsits.ac.in/,"91-(0731)2434095,2538760,2541567,2548334-38",Autonomous College,1952
"
Indian Institute of Technology, Gandhinagar
",Gujarat,http://www.iitgn.ac.in,"919328474222,917932454998,919328474226Fax:+91-79-23972324,23972583",Institute of National Importance,2008
"
Indian Institute of Information Technology, Allahabad
",Uttar Pradesh,http://www.iiita.ac.in,91-532-2922000,Deemed University,1999
"
PES Institute of Technology, Bangalore South Campus, Bangalore
",Karnataka,http://pesit.pes.edu/,"+918026721983,+918026722108",Affiliated College,2005
"
University of Hyderabad, Hyderabad
",Telangana,http://www.uohyd.ac.in/,"(040)23011091,(040)23135000",Central University,1974
"
National Institute of Technology, Jamshedpur
",Jharkhand,http://www.nitjsr.ac.in,"+91-657-2373407,2373392,2373375",Institute of National Importance,2002
"
Indian Institute of Technology, Jodhpur
",Rajasthan,http://www.iitj.ac.in/,"(291)2449013,Fax:(291)2516823",Institute of National Importance,2008
"
Christ University, Bangalore
",Karnataka,http://www.christuniversity.in/,"91-8040129100,918040129600",Deemed University,1969
"
National Institute of Technology, Hamirpur
",Himachal Pradesh,http://www.nith.ac.in/,"01972-254300,254326Fax:+91-1972-223834",Institute of National Importance,2002
"
Dr B R Ambedkar National Institute of Technology, Jalandhar
",Punjab,http://www.nitj.ac.in/,"0181-2690320,0181-2690932Fax:91-0181-2690320,2690932",Deemed University,1967
"
YMCA University of Science and Technology, Faridabad
",Haryana,http://ymcaust.ac.in,0129-2310126,State University,1969
"
National Institute of Technology, Arunachal Pradesh
",Arunachal Pradesh,http://www.nitap.in/index.aspx,"0360-2284801,2001581,2001582",Institute of National Importance,2010
"
Karunya University, Coimbatore
",Tamil Nadu,http://www.karunya.edu,0422-2614300,Deemed University,1986
"
Malaviya National Institute of Technology, Jaipur
",Rajasthan,http://www.mnit.ac.in,0141-2713345,Institute of National Importance,1963
"
Deenbandhu Chhotu Ram University of Science and Technology, Murthal
",Haryana,http://www.dcrustm.ac.in/,0130-2484005,State University,2006
"
Birla Institute of Technology, Patna
",Bihar,http://www.bitmesra.ac.in/Default.aspx,"0612-2223545,3200853",Affiliated College,2006
"
Sant Longowal Institute of Engineering and Technology, Longowal
",Punjab,http://sliet.ac.in/,"91-1672-280057,01672-253178,253179",Deemed University,1985
"
Bangalore University, Bangalore
",Karnataka,http://www.bangaloreuniversity.ac.in,"088-22961001,080-22211792,080-23213172,080-22961202",State University,1964
"
Chhatrapati Shahu ji Maharaj University, Kanpur
",Uttar Pradesh,http://www.kanpuruniversity.org/,0512-2571588,State University,1965
"
National Institute of Technology, Nagaland
",Nagaland,http://www.nitnagaland.ac.in,03842-224879,Institute of National Importance,2011
"
Institute of Engineering and Technology, Indore 
",Madhya Pradesh,http://www.iet.dauniv.ac.in/,"91-731-2462311,2366800,2361116,2361117Fax:91-731-2764385","",1996
"
Panjab University, Chandigarh
",Chandigarh,http://puchd.ac.in/,"0173-2534867,0173-2534868",State University,1947
"
ITM University, Gurgaon
",Haryana,http://www.itmindia.edu,"911242365811,12,13",Deemed University,1996
"
Tata Institute of Fundamental Research, Mumbai
",Maharashtra,http://www.tifr.res.in,022-22782000,Deemed University,2002
"
Indian Institute of Technology, Mandi
",Himachal Pradesh,http://www.iitmandi.ac.in,911905-267015Fax:9101905-267009,Institute of National Importance,2009
"
Indian Institute of Technology, Bhubaneswar
",Odisha (Orissa),http://www.iitbbs.ac.in/,916742301982Fax:+916742301983,Institute of National Importance,2008
"
National Institute of Technology, Manipur
",Manipur,http://www.nitmanipur.in/,03852058566,Institute of National Importance,2010
"
AU College of Engineering, Vishakhapatnam
",Andhra Pradesh,http://www.andhrauniversity.edu.in/engg/index.html,"0891-2844999,2754586",Autonomous College,1953
"
College of Engineering, Trivandrum
",Kerala,http://www.cet.ac.in,0471-2515556Fax:0471-2598370,"",1939
"
Guru Jambheshwar University of Science and Technology, Hisar
",Haryana,http://www.gjust.ac.in,"01662-263101,01662-263104,01662-263130",State University,1995
"
Indian Institute of Science Education and Research, Bhopal
",Madhya Pradesh,http://www.iiserbhopal.ac.in/,0755-4092-399FaxNo.:0755-4092-392,Institute of National Importance,2008
"
National Institute of Technology, Mizoram
",Mizoram,http://www.nitmz.ac.in/,"0389-2341236,0389-2391774,0389-2391699",Institute of National Importance,2011
"
Pondicherry Engineering College, Puducherry 
",Puducherry (Pondicherry),http://www.pec.edu/,0413-2655281-288,Affiliated College,1984
"
Jawaharlal Nehru Technological University, Kakinada
",Andhra Pradesh,http://www.jntuk.edu.in/,091-0884-2366356,State University,1946
"
Indian Agricultural Research Institute, New Delhi
",Delhi,http://www.iari.res.in,"",Deemed University,1905
"
GITAM Institute of Technology, Visakhapatnam
",Andhra Pradesh,http://www.gitam.edu/,"0891-2840525,0891-2840510",Deemed University,1980
"
Tamil Nadu Agricultural University, Coimbatore
",Tamil Nadu,http://www.tnau.ac.in,0422-6611201,State University,1971
"
National Institute of Technology, Meghalaya
",Meghalaya,http://www.nitm.ac.in/,0364-2501294,Institute of National Importance,2010
"
Indian Statistical Institute, Kolkata
",West Bengal,http://www.isical.ac.in/,"033-25752001,25752500,2575-3304,25778597,033-25776680",Institute of National Importance,1931
"
Chaudhary Charan Singh Haryana Agricultural University, Hisar
",Haryana,http://hau.ernet.in,"91-1662-284329, 1-800-1803001",State University,1970
"
Bidhan Chandra Krishi Viswa Vidyalaya, Nadia
",West Bengal,http://www.bckv.edu.in,"03473-222666,033-2587-8163Fax:03473222275",State University,1974
"
Indian Institute of Technology, Tirupati
","","","","",""
"
University of Delhi, Delhi
",Delhi,http://www.du.ac.in/,"011-23922480,011-24111955",Central University,1922
"
Amity University, Noida
",Uttar Pradesh,http://amity.edu/,"0120-2445252,0120-4713600",State University,2005
"
Galgotias University, Greater Noida
",Uttar Pradesh,http://galgotiasuniversity.edu.in/,"0120-4370000,+9101204806820,+917838829983",State University,1999
"
Narsee Monjee Institute of Management Studies, Mumbai
",Maharashtra,http://nmims.edu/,"91-22-42355555,26134577,26183688",Deemed University,1981
"
Nirma University, Ahmedabad
",Gujarat,http://www.nirmauni.ac.in/,91-2717-241900to0491-2717-241911,State University,2003
"
Guru Gobind Singh Indraprastha University, Delhi
",Delhi,http://www.ggsipu.nic.in/,"91-11-25302167,25302168,25302169",State University,1998
"
Lovely Professional University, Phagwara
",Punjab,http://www.lpu.in/,+91-1824-404404+91-1824-444007,State University,2005
"
A1 Global Institute of Engineering and Technology, Prakasam
",Andhra Pradesh,http://www.a1globalengineeringcollege.com/,"","",""
"
Acharya Institute of Technology, Bangalore
",Karnataka,http://www.acharya.ac.in/ait/,9180237555555,Affiliated College,2000
"
National Institute of Technology, Delhi
",Delhi,http://nitdelhi.ac.in/index.php,+911127787501,Institute of National Importance,2010
"
ITM University, Gwalior
",Madhya Pradesh,http://www.itmuniversity.ac.in/,"0751-6560671,2440057/59/65,09425308942,0942530893",State University,1997
"
Alliance College of Engineering and Design, Bangalore
",Karnataka,http://ced.alliance.edu.in/,918030938050/1/2/3,State University,2010
"
Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar
",Gujarat,http://www.daiict.ac.in/daiict/index.html,079-30520000,State University,2001
"
ABV- Indian Institute of Information Technology and Management, Gwalior
",Madhya Pradesh,http://www.iiitm.ac.in/,"0751-2449816,2449704",Deemed University,1997
"
Aalim Muhammed Salegh College of Engineering, Chennai
",Tamil Nadu,http://aalimec.ac.in/,"914426842627,26842086.",Affiliated College,2000
"
RV College of Engineering, Bangalore
",Karnataka,http://www.rvce.edu.in/index.php,91-080-67178021,Affiliated College,1963
"
Vel Tech Dr Rangrajan Dr Sakunthala Technical University, Chennai
",Tamil Nadu,http://www.veltechuniv.edu.in,"044-26841601,044-26840896,869,249",Deemed University,1990
"
BMS College of Engineering, Bangalore
",Karnataka,http://www.bmsce.in/,91-80-26622130-35,Autonomous College,1946
"
ICFAI Foundation for Higher Education, Hyderabad
",Telangana,http://www.ifheindia.org/,"040-23440966,967,968,08417-236660,61,62",Deemed University,1995
"
ABES Engineering College, Ghaziabad
",Uttar Pradesh,http://www.abes.ac.in/,"91-120-7135112,7135113",Affiliated College,2000
"
Faculty of Engineering and Technology, Manav Rachna International University, Faridabad
",Haryana,http://fet.mriu.edu.in/,0129–4268932,Affiliated College,1997
"
Aakar Academy of Architecture, Bangalore
",Karnataka,http://www.aakararchitecturalacademy.in,"","",""
"
A C S College of Engineering, Bangalore
",Karnataka,http://acsce.edu.in,+91-80-28437124,"",""
"
Thapar University, Patiala
",Punjab,http://www.thapar.edu/,+91-175-2393021,Deemed University,1956
"
Bharati Vidyapeeth, Pune
",Maharashtra,http://www.bharatividyapeeth.edu,"020-24407106,24407114,24407273",Deemed University,1996
"
Indraprastha Institute of Information Technology, Delhi
",Delhi,http://www.iiitd.ac.in/,91-11-26907400-7404,State University,2008
"
Banaras Hindu University, Varanasi
",Uttar Pradesh,http://www.bhu.ac.in/,"0542-2307639,0542-2368130",Central University,1916
"
Ansal University, Gurgaon
",Haryana,http://www.ansaluniversity.edu.in/,91.124.4750400/501,State University,2012
"
Indian Institute of Space Science and Technology, Thiruvananthapuram
",Kerala,http://www.iist.ac.in/,"+91(471)2568452,2568600,91(471)2568422,2568603,91(472)2788210",Deemed University,2007
"
Bharati Vidyapeeth's College of Engineering, Delhi
",Delhi,http://www.bvcoend.ac.in/,"91-11-25258637,25278443/44",Affiliated College,1999
"
Maharashtra Institute of Technology, Pune
",Maharashtra,http://www.mitpune.com/,"91-20-30273400,+91-20-30273459",Affiliated College,1983
"
Dr. MGR Educational and Research Institute University, Chennai 
",Tamil Nadu,http://www.drmgrdu.ac.in/,"044-23782176,044-23782186,044-23782085",Deemed University,1988
"
Chitkara University, Patiala
",Punjab,http://www.chitkara.edu.in/,+911724691800,State University,2002
"
Sinhgad College of Engineering, Pune
",Maharashtra,http://cms.sinhgad.edu/sinhgad_engineering_institutes/vadgaon_scoe/about.aspx,"+91-020-24354705,020-24100234",Affiliated College,1997
"
Maharaja Sayajirao University of Baroda, Vadodara
",Gujarat,http://www.msubaroda.ac.in/,0265-2789485,State University,1952
"
ABMSP's College of Engineering and Research, Pune
",Maharashtra,"","","",""
"
Kalinga Institute of Industrial Technology, Bhubaneswar
",Odisha (Orissa),http://www.kiit.ac.in,"0674-2725113,0674-2378550",Deemed University,1992
"
Uttaranchal Institute of Technology, Dehradun
","",http://uitdehradun.com/,"0135-2772135,2773531,2771946",Constituent College,2006
"
Chaitanya Bharathi Institute of Technology, Hyderabad
",Telangana,http://www.cbit.ac.in/,+91-040-24193276,Affiliated College,1979
"
PES University, Bangalore
",Karnataka,http://pes.edu/,"+918026721983,+918026722108",State University,1972
"
Aarushi Group of Institutions, Warangal 
",Telangana,http://www.aarushigroups.com/,8978811133,"",""
"
Veermata Jijabai Technological Institute, Mumbai
",Maharashtra,http://www.vjti.ac.in/,24198101,Autonomous College,1887
"
Bharath University, Chennai
",Tamil Nadu,http://www.bharathuniv.ac.in,"22290742,22290125",Deemed University,1984
"
Amrita School of Engineering, Bengaluru
",Karnataka,http://engineering.amrita.edu/blr/,08025183700,Constituent College,2002
"
Aarupadai Veedu Institute of Technology, Kancheepuram 
",Tamil Nadu,http://www.avit.ac.in/,"044-8754541024,914427443801,04,08,09",Affiliated College,1998
"
Ajay Kumar Garg Engineering College, Ghaziabad
",Uttar Pradesh,http://www.akgec.in/,"0120-2762841,2762851",Affiliated College,1998
"
Heritage Institute of Technology, Kolkata
",West Bengal,http://www.heritageit.edu/,"913324430454,56,57",Autonomous College,2001
"
BITS Pilani, Goa Campus
",Goa,http://universe.bits-pilani.ac.in/Goa/,0832-2580208/239,Constituent College,2004
"
Abacus Institute of Engineering and Management, Hooghly
",West Bengal,http://www.abacusinstitute.org/aboutus.php,03213-2222660/222604/222603,"",2008
"
Acharya Nagarjuna University, Guntur
",Andhra Pradesh,http://www.nagarjunauniversity.ac.in,0863-2346114,State University,1976
"
GITAM University, Visakhapatnam
",Andhra Pradesh,http://www.gitam.edu,"(91-891)2790101,2790202,2790404,2790505",Deemed University,1980
"
SRM University, Ramapuram Campus
","",http://www.srmuniv.ac.in/ramapuram/,"04430603042,91-44–27417400",Deemed University,1985
"
LD College of Engineering, Ahmedabad
",Gujarat,http://www.ldceahd.org/,"+91-79-26302887,+91-79-26306752,26300735",Affiliated College,1948
"
International Institute of Information Technology, Pune
",Maharashtra,http://www.isquareit.edu.in,"+912022933441,2,3","",2003
"
Accurate Institute of Management and Technology, Greater Noida
",Uttar Pradesh,http://www.accurate.in,"0120-2328234,35","",2006
"
Amrita School of Engineering, Amritapuri
",Kerala,http://engineering.amrita.edu/am/,914762801280,Constituent College,2002
"
ABES Institute of Technology, Ghaziabad
",Uttar Pradesh,http://www.abesit.in/about-abes.asp,0120-2845600,"",2000
"
ICFAI University, Dehradun
",Uttarakhand,http://www.iudehradun.edu.in/,0135-3003009,Deemed University,2003
"
Vels University, Chennai
",Tamil Nadu,http://www.velsuniv.ac.in/,91-44-22662500/2501/2502/2503,Deemed University,1992
"
Bangalore Institute of Technology, Bangalore
",Karnataka,http://bit-bangalore.org,"+91-080-26615865,26613237Fax:+91-080-22426796",Affiliated College,1979
"
Guru Nanak Dev Engineering College, Ludhiana
",Punjab,http://www.gndec.ac.in/,0161-2502700FaxNo.0161-2502240,Autonomous College,1956
"
Abdulkalam Institute of Technological Sciences, Khammam
",Telangana,http://www.akits.ac.in/default.htm,08745-257350.,"",2007
"
Annamalai University, Annamalai Nagar
",Tamil Nadu,http://annamalaiuniversity.ac.in/,"04144-238248,04144-263796",State University,1929
"
University of Mumbai, Mumbai
",Maharashtra,http://www.mu.ac.in,"022-22708700,022-26543000,022-26543300",State University,""
"
College of Engineering, Anna University, Chennai
",Tamil Nadu,http://ceg.annauniv.edu/,044-22358491,Constituent College,1858
"
School of Engineering and Technology, Jain University, Bangalore
",Karnataka,http://set.jainuniversity.ac.in,+918027577200Fax:+918027577199,Deemed University,1990
"
Mody University of Science and Technology, Sikar
",Rajasthan,http://www.modyuniversity.ac.in/,911573225001,Deemed University,1998
"
Hindustan University, Kelambakkam
",Tamil Nadu,https://hindustanuniv.ac.in/,"91-44-27474262,27474395",State University,1985
"
AD Patel Institute of Technology, Anand
",Gujarat,http://www.adit.ac.in,91-2692-233680,"",2000
"
Coimbatore Institute of Technology, Coimbatore
",Tamil Nadu,http://cit.edu.in/index.php,"91-422-2574071,2574072Fax:+91-422-2575020",Autonomous College,1956
"
Amity School of Engineering and Technology, Delhi
",Delhi,http://www.amity.edu/aset/,01128062106,Constituent College,1999
"
Ahmedabad Institute of Technology, Ahmedabad
",Gujarat,http://www.aitindia.in/,"91-2717241132,+91-2717241133","",2004
"
Thiagarajar College of Engineering, Madurai
",Tamil Nadu,http://www.tce.edu,"+914522482240,2482241,2482242",Affiliated College,1957
"
Acropolis Institute of Technology and Research, Indore
",Madhya Pradesh,http://aitr.ac.in,"0731-4730000,4049000,4730001,4730100Fax:0731-4730011",Affiliated College,2005
"
Kurukshetra University, Kurukshetra 
",Haryana,http://www.kuk.ac.in/,01744-238169,State University,1957
"
Babu Banarasi Das University, Lucknow
",Uttar Pradesh,http://bbdu.ac.in,91-(522)-3911100/01/02,State University,2010
"
Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram
",Tamil Nadu,http://www.iiitdm.ac.in/,+91-44-27476300Fax:+91-44-27476301,Autonomous College,2007
"
KJ Somaiya College of Engineering, Mumbai
",Maharashtra,https://www.somaiya.edu/kjsce,022-66449191,Affiliated College,1983
"
Dehradun Institute of Technology, Dehradun
",Uttarakhand,http://www.dit.edu.in/,"0135-3000300,01,2735590",Affiliated College,1998
"
BITS Pilani- Hyderabad Campus, Hyderabad
",Telangana,http://www.bits-pilani.ac.in/hyderabad/,"911596244089,9115965338",Deemed University,2008
"
Academy of Maritime Education and Training, Kancheepuram
",Tamil Nadu,http://www.ametuniv.ac.in/,"",Deemed University,""
"
Indian Maritime University, Chennai
",Tamil Nadu,http://imu.edu.in/,91(44)24530343/345,State University,2008
"
Bhartiya Vidya Bhavans, Sardar Patel College of Engineering, Mumbai 
",Maharashtra,http://www.spce.ac.in,"(91)-(022)-26289777,26232192Fax:(91)-(022)-26237819",Autonomous College,1962
"
Maharaja Agrasen Institute of Technology, Delhi
",Delhi,http://www.mait.ac.in,"011-65647742,65151164",Affiliated College,1999
"
Madan Mohan Malaviya University of Technology, Gorakhpur
",Uttar Pradesh,http://www.mmmut.ac.in/,"+91-551-2273958,+91-551-6050001",State University,1962
"
Faculty of Technology, Dharmsinh Desai University, Nadiad
",Gujarat,http://www.ddu.ac.in/,91–0268–2520503,"",1968
"
Hansraj College, Delhi  
","",http://www.hansrajcollege.co.in/,"91-11-27667747,91-11-27667458",Affiliated College,1905
"
College of Engineering Studies, University of Petroleum and Energy Studies, Dehradun
",Uttarakhand,http://www.upes.ac.in,"91-135-2102691,692,91-135-2776095,054",State University,2003
"
University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra
",Haryana,http://www.uietkuk.org,"01744-233700,239155Fax:01744-238967",Constituent College,2004
"
Jabalpur Engineering College, Jabalpur
",Madhya Pradesh,http://www.jec-jabalpur.org,"91-761-2331953,Fax:+91-761-2461355","",1947
"
Birla Vishvakarma Mahavidyalaya, Anand
",Gujarat,http://www.bvmengineering.ac.in/,"91-2692-230104,+91-2692-236672","",1979
"
Army Institute of Technology, Pune
",Maharashtra,http://www.aitpune.com,"(020)27157534,27157612Fax:91-20-27157534",Affiliated College,1994
"
Sharda University, Greater Noida
",Uttar Pradesh,http://www.sharda.ac.in,"+91-120-3121001,2+91-120-4060210",State University,2009
"
Galgotias College of Engineering and Technology, Greater Noida 
",Uttar Pradesh,http://www.galgotiacollege.edu/galgotiacollege/gcet/,91-120-4370000,Affiliated College,1999
"
Faculty of Engineering and Technology, Jamia Millia Islamia, New Delhi
",Delhi,http://jmi.ac.in/Fengg/FoEngg.htm,"11-26981717,26988044",Reviews:  1,1985
"
Guru Teg Bahadur Institute of Technology, Delhi 
",Delhi,http://www.gtbit.org/,011-25404036,"",1999
"
Abha Gaikwad-Patil College of Engineering, Nagpur
",Maharashtra,http://www.agpce.com/,"0712-2240656,08308831378","",""
"
VIT University, Chennai
",Tamil Nadu,http://chennai.vit.ac.in/,914439931555,Deemed University,2010
"
AISECT University, Bhopal
",Madhya Pradesh,http://www.aisectuniversity.ac.in,"0755-6766100,9425647748,9993233374,9893350135,7697207455",State University,1985
"
BIT Sindri, Dhanbad
",Jharkhand,http://www.bitsindri.ac.in,"0326-2350495,2350496",Affiliated College,1949
"
Aditya Institute of Technology, Delhi
",Delhi,http://aitdelhi.in/,011-26125195,"",1995
"
Abhinav Hi-Tech College of Engineering and Technology, Hyderabad
",Telangana,http://www.htec.ac.in/,08413-235170/71/72,"",2002
"
PRIST University, Thanjavur
",Tamil Nadu,http://prist.ac.in/,"04362)265021,265022,265023,9442502054,9442502057,9442502076",Deemed University,1985
"
Cochin University of Science and Technology, Kochi 
",Kerala,http://www.cusat.ac.in,"0484-277290,0484-257750",State University,1971
